x,y
31,58.07025734096071
15,48.66363244577989
65,55.423322887029805
82,37.97775711276958
55,36.515150648810426
85,50.74772639182562
58,32.69331166426718
59,62.920602566261614
59,55.764186444054104
78,62.092610862979086
65,47.806382747613576
81,33.754363820913525
7,50.59782377338651
73,58.41832507309603
54,58.75599968196145
3,50.422151543254145
22,63.35439780051062
8,66.02459882657763
48,54.349668612340125
51,32.40271405126979
47,41.839526019411934
4,47.03595050856413
6,54.234521432783126
50,63.758264002549616
24,47.11046934645745
85,46.16065419919181
11,54.63015465320015
85,63.499338268608895
40,64.10158284341077
23,34.61458224275346
6,62.06005684650448
6,46.11381874589279
18,52.706840160060786
96,52.01058593623589
83,36.53410181302884
68,45.659955744222835
88,36.35277988642517
98,46.50156199956768
75,48.5519278767049
38,62.447053571448905
20,48.71677170309923
73,53.44670446144529
18,63.632376439129374
12,52.793255715163944
98,26.664682418220835
60,68.95944573029294
50,46.880637100001145
15,53.03143307310661
75,43.31732757395936
99,49.39862063346735
56,34.30900032147844
20,40.23098050611643
70,44.90374750074376
55,61.646183560554746
78,58.40256564157478
69,43.29852848114136
30,28.985809414575346
52,55.69585484731479
23,74.56064385147397
94,58.76825357385721
57,37.963284293841994
24,35.05922574646104
0,50.384511261269196
3,41.31759247500048
12,58.1028731740974
8,47.791871805250224
24,49.104347355170134
14,40.84191984275786
61,31.214039754225464
92,53.846424101183345
81,57.428427506002286
35,60.801296948871006
57,34.81183843239085
66,51.66259930943774
35,59.47297575026999
6,26.183455428999235
10,48.9844167817848
54,66.94737109477859
30,41.73192601037978
77,66.16427767193153
66,37.10282145169325
42,49.42655063830182
62,41.52756821044369
34,51.80682217300927
55,60.35922673671367
71,63.58598010138273
24,44.67912224705504
80,54.243508533587075
57,37.45699714026348
32,56.53547827050177
16,36.19161556294452
23,46.93359752486924
51,42.402112391315946
41,55.1097304633224
32,64.88764653002724
74,39.30106262366559
90,46.62172219600453
53,42.78856735748748
12,53.467668031311966
22,55.038277837385586
89,38.73580607559537
45,44.6151043812691
70,51.146049038048965
2,46.4676858567605
12,62.504830709547925
1,34.7235870309305
6,41.54548357689832
68,32.27552005922387
7,54.21845164903924
85,21.9448625293482
10,42.03392986254879
